Estado,SKU,Nome,PV,Preço Consumidor,25%,35%,42%,50%,Origem_Aba
BA,a,534K Protein Ice Cream (Gelato Proteico) Sabor Chocolate,"59,80","473,00","357,73","317,45","289,25","257,02",BA(1)
BA,30,535K Protein Ice Cream (Gelato Proteico) Sabor Baunilha,"59,80","473,00","357,73","317,45","289,25","257,02",BA(1)
BA,30,447K Shake Pistache,"25,75","246,00","179,62","159,39","145,23","129,05",BA(1)
BA,01,249K Shake Frapê de Abacaxi,"25,75","246,00","179,62","159,39","145,23","129,05",BA(1)
BA,01,295K Shake Cookies & Cream,"25,75","246,00","179,62","159,39","145,23","129,05",BA(1)
BA,01,023K Shake Café Cremoso,"25,75","246,00","179,62","159,39","145,23","129,05",BA(1)
BA,01,0940 Shake Doce De Leite,"25,75","246,00","179,62","159,39","145,23","129,05",BA(1)
BA,01,3144 Shake Chocolate Sensation,"25,75","246,00","179,62","159,39","145,23","129,05",BA(1)
BA,01,0951 Shake Baunilha Cremoso,"25,75","246,00","179,62","159,39","145,23","129,05",BA(1)
BA,01,0953 Shake Morango Cremoso,"25,75","246,00","179,62","159,39","145,23","129,05",BA(1)
BA,01,326K Shake Banana Caramelizada,"25,75","246,00","179,62","159,39","145,23","129,05",BA(1)
BA,01,439K Shake Torta de Limão,"25,75","246,00","179,62","159,39","145,23","129,05",BA(1)
BA,01,0930 Shake Coco,"25,75","246,00","179,62","159,39","145,23","129,05",BA(1)
BA,01,2122 Shake Doce de Leite Embalagem Econômica,"102,00","786,00","609,60","540,95","492,90","437,99",BA(1)
BA,29,387K Shake Chocolate Sensation Embalagem Econômica,"96,90","786,00","579,31","514,08","468,42","416,23",BA(1)
BA,30,2129 Shake Baunilha Cremoso Embalagem Econômica,"102,00","786,00","609,60","540,95","492,90","437,99",BA(1)
BA,29,1446 Shake Morango Cremoso Embalagem Econômica,"102,00","786,00","609,60","540,95","492,90","437,99",BA(1)
BA,29,1445 CR7 Drive,"26,75","243,00","191,35","173,12","160,36","145,77",BA(1)
BA,45,0948 Shake Sachê Baunilha Cremoso (caixa com 7 sachês),"9,55","87,00","64,15","57,83","53,40","48,34",BA(1)
BA,06,0020 Xtra-Cal,"11,00","109,00","78,94","70,05","63,83","56,72",BA(1)
BA,16,448K Sopa Instantânea (Frango com Legumes),"9,35","87,00","63,83","58,39","54,59","50,24",BA(1)
BA,37,445K Sopa Instantânea (Creme de Cebola),"9,35","87,00","63,83","58,39","54,59","50,24",BA(1)
BA,37,190K Liftoff sabor Amora Intenso,"20,20","196,00","146,32","132,09","122,13","110,75",BA(1)
BA,48,371K Liftoff sabor Abacaxi,"20,20","196,00","146,32","132,09","122,13","110,75",BA(1)
BA,48,317K Liftoff sabor Limão Siciliano,"20,20","196,00","146,32","132,09","122,13","110,75",BA(1)
BA,48,060K Herbal Concentrate Original 51g,"21,45","222,00","160,84","142,73","130,05","115,56",BA(1)
BA,39,057K N-R-G Original 100g,"24,45","252,00","176,01","156,19","142,31","126,46",BA(1)
BA,17,0031 Barras de Proteína Limão Citrus (7 barras por caixa),"10,40","110,00","89,46","83,50","79,32","74,55",BA(1)
BA,17,214K Barras de Proteína Vanilla Almond (7 Barras por Caixa),"10,40","110,00","89,46","83,50","79,32","74,55",BA(1)
BA,17,325K Creatina Premium 150g,"18,45","181,00","136,78","123,19","113,69","102,82",BA(1)
BA,57,318K Shape Control,"35,35","338,00","251,80","223,45","203,60","180,92",BA(1)
BA,12,1923 Beauty Booster Frutas Vermelhas,"27,80","301,00","223,97","198,75","181,09","160,92",BA(1)
BA,79,395K Nutri Soup Frango Com Legumes,"25,75","246,00","179,62","159,39","145,23","129,05",BA(1)
BA,01,058K N-R-G Original 60g,"15,85","159,00","116,71","103,57","94,37","83,86",BA(1)
BA,29,056K N-R-G Guaraná Tropical 100g,"24,45","252,00","176,01","156,19","142,31","126,46",BA(1)
BA,17,0246 Pó de Proteína 480g,"39,25","401,00","295,11","261,88","238,61","212,03",BA(1)
BA,40,062K Herbal Concentrate Laranja e Especiarias 102g,"37,60","364,00","266,45","236,44","215,44","191,44",BA(1)
BA,09,306B NutreV pack 10 unidades,"80,90","790,00","523,25","493,88","473,33","449,84",BA(1)
BA,56,1639 NutreV,"7,40","79,00","64,79","60,86","58,10","54,96",BA(1)
BA,43,497K Fiber Concentrate Immune Limão e Mel,"20,30","206,00","141,44","125,52","114,37","101,63",BA(1)
BA,01,040K Protein Crunch,"12,30","112,00","84,90","75,34","68,65","61,00",BA(1)
BA,96,146K Glutamina,"9,10","80,00","60,03","54,73","51,03","46,79",BA(1)
BA,14,0242 Pó de Proteína 240g,"19,30","221,00","159,59","141,62","129,05","114,67",BA(1)
BA,94,004K Herbal Concentrate Original Embalagem Econômica,"138,05","1072,00","832,04","738,35","672,76","597,81",BA(1)
BA,33,063K Herbal Concentrate Limão 51g,"21,45","222,00","160,84","142,73","130,05","115,56",BA(1)
BA,39,0927 Fiber Powder,"24,65","243,00","180,29","159,99","145,78","129,54",BA(1)
BA,26,191K Whey Protein sabor Baunilha,"24,55","256,00","188,94","172,82","161,54","148,64",BA(1)
BA,05,061K Herbal Concentrate Canela 102g,"37,60","364,00","266,45","236,44","215,44","191,44",BA(1)
BA,09,003K N-R-G Guaraná Tropical Embalagem Econômica,"84,80","668,00","518,00","459,67","418,84","372,17",BA(1)
BA,39,147K Whey Protein 3W,"24,55","256,00","188,94","172,82","161,54","148,64",BA(1)
BA,05,223K OnActive Drink,"19,45","176,00","132,47","119,60","110,59","100,30",BA(1)
BA,16,1417 Herbalife24 Hours Tri-Core Protein Blend Chocolate,"46,80","467,00","367,71","330,97","305,26","275,87",BA(1)
BA,89,0931 Nutri Soup Creme Verde,"25,75","246,00","179,62","159,39","145,23","129,05",BA(1)
BA,01,148K BCAA 5:1:1,"25,85","264,00","195,44","178,40","166,47","152,83",BA(1)
BA,91,496K Fiber Concentrate Uva,"20,30","206,00","141,44","125,52","114,37","101,63",BA(1)
BA,498K,Fiber Concentrate Manga,"20,30","206,00","141,44","125,52","114,37","101,63",BA(1)
BA,01,059K Herbal Concentrate Original 102g,"37,60","364,00","266,45","236,44","215,44","191,44",BA(1)
BA,09,0065 Herbalifeline,"27,70","281,00","204,31","181,31","165,20","146,80",BA(1)
BA,30,3122 Multivitaminas e Minerais,"10,75","122,00","86,16","76,46","69,66","61,90",BA(1)
BA,a,0411 Sabonete em Barra Soft Green Chá Verde,"2,05","21,00","11,32","10,35","9,67","8,89",BA(1)
BA,34,0431 Creme Hidratante Soft Green Chá Verde,"8,20","82,00","48,33","44,20","41,31","38,01",BA(1)
BA,64,0766 Cleanser Facial Cítrico 150ml,"13,70","182,00","99,75","89,98","83,14","75,33",BA(1)
BA,50,0770 Gel Firmador para os Olhos 15ml,"21,70","282,00","154,20","138,63","127,73","115,27",BA(1)
BA,31,0773 Máscara Purificante de Argila 120ml,"13,80","185,00","101,68","91,67","84,67","76,66",BA(1)
BA,56,0768 Sérum Facial Redutor de linhas 30ml,"30,90","397,00","217,33","195,48","180,19","162,71",BA(1)
BA,27,0408 Sabonete Líquido para as mãos Soft Green Chá Verde,"7,20","71,00","49,99","45,72","42,73","39,31",BA(1)
BA,46,0563 Desodorante Soft Green Chá Verde,"2,70","30,00","16,95","15,51","14,50","13,35",BA(1)
PI,a,534K Protein Ice Cream (Gelato Proteico) Sabor Chocolate,"59,80","473,00","366,96","334,94","312,52","286,90",PI
PI,80,535K Protein Ice Cream (Gelato Proteico) Sabor Baunilha,"59,80","473,00","366,96","334,94","312,52","286,90",PI
PI,80,447K Shake Pistache,"25,75","246,00","184,25","168,17","156,92","144,05",PI
PI,59,249K Shake Frapê de Abacaxi,"25,75","246,00","184,25","168,17","156,92","144,05",PI
PI,59,295K Shake Cookies & Cream,"25,75","246,00","184,25","168,17","156,92","144,05",PI
PI,59,023K Shake Café Cremoso,"25,75","246,00","184,25","168,17","156,92","144,05",PI
PI,59,0940 Shake Doce De Leite,"25,75","246,00","184,25","168,17","156,92","144,05",PI
PI,59,3144 Shake Chocolate Sensation,"25,75","246,00","184,25","168,17","156,92","144,05",PI
PI,59,0951 Shake Baunilha Cremoso,"25,75","246,00","184,25","168,17","156,92","144,05",PI
